projects name,project img
ADDAX TOWER,https://trojanconstruction.group/storage/projects/November2023/EkZNODvELI5YrIt1lSTL.jpg
Five Hotel Palm Jumeriah,https://trojanconstruction.group/storage/projects/November2023/4sUOAGVpRKjzlFXgfIZm.jpg
EMIRATI HOUSING COMMUNITY YAS ISLAND – PHASE 1,https://trojanconstruction.group/storage/projects/November2023/013zhobeBs4uSrtouj7s.jpg
DUBAI WORLD TRADE CENTRE - PHASE 1A2,https://trojanconstruction.group/storage/projects/November2023/dm4W5dqduVDBvTgQR4WG.jpg
YAS WATERWORLD,https://trojanconstruction.group/assets/images/default.png
Zayed international Airport,https://trojanconstruction.group/storage/projects/January2024/i4WodJSywcyEUuSUjWD8.jpg
MARINA SQUARE – ZONE A DEVELOPMENT,https://trojanconstruction.group/storage/projects/June2022/WgSOK8cAseEmLWqE3iP0.jpg
DANET TOWER,https://trojanconstruction.group/storage/projects/June2022/3JVB1omKOPyWhEUd8atl.jpg
NATION TOWERS,https://trojanconstruction.group/storage/projects/January2023/qmllRJhLliJm1mc4TvXc.png
MARINA SQUARE – ZONE D DEVELOPMENT,https://trojanconstruction.group/storage/projects/June2022/2yiQM3AvilcAh6z99bnj.jpg
Horizon Towers,https://trojanconstruction.group/storage/projects/June2022/oMUQ1a3e89A72Nyr89Av.jpg
TIARA UNITED TOWERS,https://trojanconstruction.group/storage/projects/June2022/9Eap0cRckz71hRw6ZOa2.jpg
SILVERWAVE TOWER,https://trojanconstruction.group/storage/projects/June2022/jYZFYBQofjbUwn8QwhZl.jpg
GATE TOWER,https://trojanconstruction.group/storage/projects/June2022/zziTZYsp3m4PzvuelzKR.jpg
AXIS TOWER,https://trojanconstruction.group/storage/projects/June2022/TrvWcEDFUfsd0ZQuc1Mc.jpg
AL NOOR TOWER,https://trojanconstruction.group/storage/projects/June2022/W47hq5zUrhRAIomidLe3.jpg
SAKHBOUT TOWER,https://trojanconstruction.group/storage/projects/June2022/Xi2o4lT6sNHtJaVCGz3F.jpg
GOLDEN MILE 3,https://trojanconstruction.group/storage/projects/June2022/KYR59KCrBfse6alUc12Q.jpg
AMBULATORY HEALTHCARE CENTRES,https://trojanconstruction.group/storage/projects/June2022/yYG7LXejYpWj0jTZOIhR.jpg
INFRASTRUCTURE WORKS FOR RAWDHAT DEVELOPMENT,https://trojanconstruction.group/storage/projects/June2022/JNo8FBXkIGOk5XpM79k5.jpg
ROAD & UTILITIES WORKS FOR NAJMAT,https://trojanconstruction.group/storage/projects/June2022/TM4hbuoOnkWAuB0VFKiK.jpg
AL DANA PHASE II – INFRASTRUCTURE WORKS,https://trojanconstruction.group/storage/projects/June2022/VMgaibCAYebcothqGUD0.jpg
